Acceleration,Temperature,Speed,Voltage,Current
3eea01d4,419eeeef,00000000,39eeb30c,3fed36bb
3ee801d0,419eeeef,00000000,39e86a92,3feda10a
3ee601cc,41a19999,00000000,39e27497,3fee1306
3eea01d4,41a19999,00000000,39dccaeb,3fee6509
3ee801d0,419eeeef,00000000,39d767f8,3feed8f7
3ee401c8,419eeeef,00000000,39d246b1,3fef3ac9
3ee801d0,419eeeef,00000000,39cd6281,3fef8bc4
3eec01d8,419eeeef,00000000,39c8b73e,3feff093
3ee601cc,419eeeef,00000000,39c4411c,3ff02e09
3ee401c8,419eeeef,00000000,39bffca4,3ff07403
3eea01d4,419eeeef,00000000,39bbe6aa,3ff0b6e2
3eea01d4,419eeeef,00000000,39b7fc47,3ff101b0
3ee801d0,41a19999,00000000,39b43acf,3ff153f1
3ee401c8,41a19999,00000000,39b09fcd,3ff19864
3ee401c8,419eeeef,00000000,39ad28ff,3ff1cfda
3ee001c0,419eeeef,00000000,39a9d44d,3ff20516
3ede01bc,419eeeef,00000000,39a69fca,3ff2420a
3ee201c4,419eeeef,00000000,39a389ab,3ff26964
3ee601cc,419eeeef,00000000,39a09049,3ff2a225
3ee601cc,419eeeef,00000000,399db219,3ff2c63b
3eea01d4,419eeeef,00000000,399aedac,3ff2e8fd
3eec01d8,419eeeef,00000000,399841ae,3ff31372
3ee801d0,419eeeef,00000000,3995ace0,3ff33c67
3ee601cc,419eeeef,00000000,39932e1a,3ff3753f
3ee801d0,419eeeef,00000000,3990c446,3ff40150
3ee601cc,419eeeef,00000000,398e6e61,3ff42443
3ee601cc,419eeeef,00000000,398c2b77,3ff4460d
3eea01d4,419eeeef,00000000,3989faa5,3ff46edd
3ee601cc,419eeeef,00000000,3987db15,3ff49660
3ee801d0,419eeeef,00000000,3985cbfe,3ff4b4c2
3eea01d4,419eeeef,00000000,3983cca4,3ff4ca6e
3eee01dc,419eeeef,00000000,3981dc54,3ff4df6e
3ee601cc,419eeeef,00000000,397ff4cf,3ff4fb52
3eec01d8,419eeeef,00000000,397c4c81,3ff51661
3ee601cc,419eeeef,00000000,3978be94,3ff537f5
3eee01dc,419eeeef,00000000,397549ee,3ff54a25
3ee401c8,419eeeef,00000000,3971ed86,3ff55bce
3ee601cc,419eeeef,00000000,396ea860,3ff56cf7
3ee601cc,419eeeef,00000000,396b798d,3ff5848f
3ee601cc,419eeeef,00000000,3968602c,3ff59b82
3eea01d4,419eeeef,00000000,39655b67,3ff5ab1a
3ee401c8,419eeeef,00000000,39626a74,3ff5ce36
3ee801d0,419eeeef,00000000,395f8c91,3ff5e9d8
3ee601cc,419eeeef,00000000,395cc107,3ff604c4
3eea01d4,419eeeef,00000000,395a0729,3ff61f00
3ee601cc,419eeeef,00000000,39575e51,3ff63240
3eea01d4,419eeeef,00000000,3954c5e1,3ff63ec5
3eea01d4,419eeeef,00000000,39523d44,3ff644ce
3ee401c8,419eeeef,00000000,394fc3ea,3ff64ab1
3ee601cc,41c08888,00000000,394d594b,3ff6627d
3ee601cc,41d44444,00000000,394afce5,3ff673c5
3ee801d0,41db3333,00000000,3948ae3c,3ff69c2c
3ee201c4,41e00000,00000000,39466cda,3ff6a690
3ee801d0,41d3bbbc,00000000,3944384d,3ff6bc37
