Acceleration,Temperature,Speed,Voltage,Current
bee20000,41a91111,00000000,00000000,3fd30a40
bf250000,41a91111,00000000,00000000,3fd56373
bf2b0000,41a66667,00000000,00000000,3fd7b120
3e340168,41a66667,00000000,00000000,3fd98781
3eb6016c,41a66667,00000000,00000000,3fdb6115
3eba0174,41a91111,00000000,00000000,3db9a338
3eb40168,41a66667,00000000,00000000,3f10c59c
3eb6016c,41a66667,00000000,00000000,3f5b73bd
3eba0174,41a66667,00000000,00000000,3f85d769
3ec20184,41a66667,00000000,00000000,3f9784e2
3eba0174,41a66667,00000000,00000000,3fa52f83
3eb6016c,41a66667,00000000,00000000,3faf49ff
3eba0174,41a44444,00000000,00000000,3fb74fd7
3eb80170,41a66667,00000000,00000000,3fbe91c6
3ebc0178,41a44444,00000000,00000000,3fc3bb89
3ebc0178,41a44444,00000000,00000000,3fc81267
3eb80170,41a44444,00000000,00000000,3fcbc493
3eb6016c,41a44444,00000000,00000000,3fcef3c1
3eba0174,41a44444,00000000,00000000,3fd1d9b6
3eb20164,41a44444,00000000,00000000,3fd44665
3eb6016c,41a44444,00000000,00000000,3fd66b60
3eb80170,41a44444,00000000,00000000,3fd88b35
3eb20164,41a44444,00000000,00000000,3fda0a46
3eb6016c,41a44444,00000000,00000000,3fdb7c13
3eb6016c,41a44444,00000000,00000000,3fdce28b
3eb80170,41a44444,00000000,00000000,3fde55f3
3eb80170,41a44444,00000000,00000000,3fdfbf0c
3ebc0178,41a44444,00000000,00000000,3fe0e08d
3eb40168,41a44444,3e1711fe,00000000,3fe1c2c6
3eb80170,41a66667,4085fd39,00000000,3fe2a6d0
3eba0174,41a91111,407e12e2,00000000,3fe38c84
3eb6016c,41a91111,406fa905,00000000,3fe42bd2
3eb6016c,41a6eeef,4060aa75,00000000,3fe4d160
3eb6016c,41a66667,4051ca4b,00000000,3fe58d63
3ebc0178,41a44444,4041c10c,00000000,3fe63d37
3ee001c0,41a44444,4041c10c,00000000,3fe6b2a0
3eee01dc,41a44444,40310995,00000000,3fe7301d
3d200140,41a44444,401f1fde,00000000,3fe7d2bb
3fee01dc,41a44444,401f1fde,00000000,3fe85d8f
3f5c01b8,41a44444,400ba22f,00000000,3fe8d289
be200000,41a44444,400ba22f,00000000,3fe9411b
3f3b0176,41a44444,3febba22,00000000,3fe99c6f
be0c0000,41a44444,3febba22,00000000,3fe9ffff
3fff01fe,41a44444,3fb8120e,00000000,3fea51d3
3f7c01f8,41a44444,3fb8120e,00000000,3fea86d2
be100000,41a44444,3fb8120e,00000000,3feadd79
be740000,41aa2223,00000000,00000000,3feb3009
3f020104,41bddddd,3f5b75ae,00000000,3feb7ec9
3e800100,41c55555,3f5b75ae,00000000,3fec1906
be1c0000,41cd5555,3f5b75ae,00000000,3fec8067
3cc00180,41d33333,00000000,00000000,3fece35d
3ee001c0,41daaaab,00000000,00000000,3fed4cce
3ede01bc,41de6667,00000000,00000000,3fedbc5b
3edc01b8,41e11111,00000000,00000000,3fee08c9
3ee001c0,41f80000,00000000,00000000,3fee522c
3ede01bc,41f80000,00000000,00000000,3feeac61
3db80170,41faaaab,00000000,00000000,3feee62c
3f17012e,41faaaab,00000000,00000000,3fef30c0
3fcd819b,41fd5555,00000000,00000000,3fef7896
3fc6818d,41ff7778,00000000,00000000,3fefbdd3
3fff01fe,41faaaab,00000000,00000000,3feff799
3fff01fe,41dbbbbc,00000000,00000000,3ff03831
3fe581cb,41d5dddd,3e71dceb,00000000,3ff07f47
3fff01fe,41d11111,40ce5fc4,00000000,3ff0cc8b
3fb5016a,41ce6667,4110cb73,00000000,3ff10ed5
3c400180,41cbbbbc,410b8b09,00000000,3ff15f93
3fff01fe,41cbbbbc,4106a8ba,00000000,3ff19535
3fee81dd,41cb3333,40fe12e2,00000000,3ff1c112
3eb80170,41cb3333,40f4478f,00000000,3ff1e39d
be0c0000,41c44444,40ea3092,00000000,3ff214b5
3fff01fe,41c44444,40df8025,00000000,3ff24c02
beea0000,41c44444,40d4e656,00000000,3ff26ae1
00000000,41c22223,40ca1d6e,00000000,3ff297ca
be4c0000,41bf7778,40c4397c,00000000,3ff2b4a2
be040000,41bccccd,40b96ac0,00000000,3ff2c216
3fff01fe,41bccccd,40b33f28,00000000,3ff2e4a8
3fff01fe,41bccccd,40a7ccab,00000000,3ff2f108
3fff01fe,41bccccd,40a1c0af,00000000,3ff30408
3fff01fe,41bb3333,409534ee,00000000,3ff308be
3fff01fe,41b80000,408eaf65,00000000,3ff3141b
00000000,41b55555,408830f5,00000000,3ff325da
be5c0000,41b55555,40815310,00000000,3ff33720
3ece019c,41b55555,4074d5b0,00000000,3ff3416d
bf740000,41b55555,4066adec,00000000,3ff351e4
bf950000,41b55555,4057ab93,00000000,3ff35b94
3f6701ce,41b55555,40486c3f,00000000,3ff36b4b
bf190000,41b2aaab,40382631,00000000,3ff3746a
3f3e017c,41b08888,40382631,00000000,3ff37d4f
3ff701ee,41b08888,4026c2af,00000000,3ff385fc
3fbf817f,41b08888,40144855,00000000,3ff38e73
beba0000,41b08888,40144855,00000000,3ff396b6
3db80170,41b08888,3fffbb7f,00000000,3ff3a49c
3fff01fe,41addddd,3fffbb7f,00000000,3ff3ac6b
3f020104,41addddd,3fd0dfff,00000000,3ff3ae57
be820000,41addddd,3fd0dfff,00000000,3ff3b5db
bfff0000,41addddd,3fd0dfff,00000000,3ff3c2c6
be820000,41addddd,3f954229,00000000,3ff3cf67
3fba0174,41addddd,3f954229,00000000,3ff3d64d
00000000,41addddd,3f954229,00000000,3ff3d7a7
3eee01dc,41af7778,00000000,00000000,3ff3d3a4
3eee01dc,41af7778,00000000,00000000,3ff3d4fe
3eea01d4,41a91111,00000000,00000000,3ff3d651
3ee801d0,41a91111,00000000,00000000,3ff3dcc7
3eee01dc,41a91111,00000000,00000000,3d919720
3ef201e4,41a91111,00000000,00000000,3f0d11d7
3eea01d4,41a91111,00000000,00000000,3f588c6b
3eee01dc,41a91111,00000000,00000000,3f85a8c5
3eea01d4,41a91111,00000000,00000000,3f976206
3ef401e8,41a91111,00000000,00000000,3fa492ea
3eec01d8,41a66667,00000000,00000000,3faefaea
3eee01dc,41a66667,00000000,00000000,3fb70a95
3eee01dc,41a66667,00000000,00000000,3fbd6788
3ee801d0,41a66667,00000000,00000000,3fc2ab81
3ee801d0,41a66667,00000000,00000000,3fc79105
3ef001e0,41a66667,00000000,00000000,3fcb72eb
3ee801d0,41a66667,00000000,00000000,3fcea88d
3ee401c8,41a66667,00000000,00000000,3fd19419
3eea01d4,41a66667,00000000,00000000,3fd461cf
3ee201c4,41a66667,00000000,00000000,3fd6bfef
3ee401c8,41a66667,00000000,00000000,3fd8dbda
3ee201c4,41a66667,00000000,00000000,3fdaa592
3eee01dc,41a44444,00000000,00000000,3fdc41ee
3ee801d0,41a19999,00000000,00000000,3fddcf09
3ee801d0,41a44444,00000000,00000000,3fdf4f01
3ee601cc,41a19999,00000000,00000000,3db9a338
3ee601cc,41a19999,00000000,00000000,3da68178
3ee801d0,41a19999,00000000,00000000,3f0e1b36
3ee601cc,41a19999,00000000,00000000,3f5a2e48
3ee601cc,41a19999,00000000,00000000,3f8656db
3eea01d4,41a19999,00000000,00000000,3f97aca3
3eea01d4,41a19999,00000000,00000000,3fa410da
3ee401c8,41a19999,00000000,00000000,3fae4cd1
3ee001c0,41a19999,00000000,00000000,3fb66d9e
3ede01bc,41a19999,00000000,00000000,3fbd0845
3ee401c8,41a19999,00000000,00000000,3fc2ab49
3ee601cc,41a19999,00000000,00000000,3fc768e7
3ee601cc,41a19999,00000000,00000000,3fcb7325
3ee601cc,41a19999,00000000,00000000,3fcea8e9
3f0d011a,41a19999,00000000,00000000,3fd1948f
3f25014a,41a19999,00000000,00000000,3fd40627
3fff01fe,41a19999,00000000,00000000,3fd64c77
3fff01fe,41a19999,00000000,00000000,3fd8379c
3f7601ec,41a19999,00000000,00000000,3fd9efa2
3f95012a,41a19999,00000000,00000000,3fdbadc6
3e6801d0,41a19999,00000000,00000000,3fdd41dd
3fff01fe,41a19999,00000000,00000000,3fde8412
3d800100,41a19999,00000000,00000000,3fdfc00f
3f440188,41a19999,00000000,00000000,3fe0e1c4
3fff01fe,41a19999,00000000,00000000,3fe1b008
3e9e013c,41a19999,00000000,00000000,3fe2819e
3e980130,41a19999,00000000,00000000,3fe35632
3e96012c,41a19999,00000000,00000000,3fe42d7f
3e940128,41a19999,00000000,00000000,3fe4e481
3e940128,41a19999,00000000,00000000,3fe5a00a
3e9a0134,41a19999,00000000,00000000,3fe63f1b
3e96012c,41a19999,00000000,00000000,3fe6e3ee
3e8e011c,41a19999,00000000,00000000,3fe77eb0
3e940128,41a19999,00000000,00000000,3fe8015f
3e920124,41a19999,00000000,00000000,3fe88af8
3e920124,41a19999,00000000,00000000,3fe8f0ac
3f87810f,41a19999,00000000,00000000,3fe95e7c
3d300160,41a19999,00000000,00000000,3fe9d3c9
3f7701ee,41a19999,00000000,00000000,3fea5d0c
3f95012a,41a19999,00000000,00000000,3feac600
beca0000,41a19999,00000000,00000000,3feb362b
bf520000,41a19999,00000000,00000000,3feb94d3
bf0d0000,41a19999,00000000,00000000,3febef03
bf430000,41a19999,00000000,00000000,3fec2ddf
bf1b0000,41a19999,00000000,00000000,3fec7530
bec40000,41a19999,00000000,00000000,3feccf80
00000000,41a19999,00000000,00000000,3fed30c7
3e86010c,41a19999,00000000,00000000,3fed78b5
bec60000,41a44444,00000000,00000000,3fedb339
3ed801b0,41a19999,00000000,00000000,3fedffc5
