Acceleration,Temperature,Speed,Voltage,Current
BEF60000,419A2222,00000000,3BC8E31E,400D0208
BEF20000,419A2222,00000000,3BC8CA95,400D0227
BEFA0000,419A2222,00000000,3BC8B211,400D0229
BEF40000,419A2222,00000000,3BC89993,400D020E
BEF40000,419A2222,00000000,3BC8811A,400D0210
BEF20000,419A2222,00000000,3BC868A7,400D01F5
BEF20000,419A2222,00000000,3BC85039,400D01F7
BEF40000,419A2222,00000000,3BC837D0,400D0216
BEF40000,419A2222,00000000,3BC81F6D,400D0251
BEF40000,419A2222,00000000,3BC8070F,400D0236
BEF40000,419A2222,00000000,3BC7EEB6,400D0238
BEF80000,419A2222,00000000,3BC7D663,400D023A
BEF20000,419A2222,00000000,3BC7BE15,400D021F
BEF20000,419A2222,00000000,3BC7A5CD,400D0221
BEF40000,419A2222,00000000,3BC78D8A,400D025C
BEF40000,419A2222,00000000,3BC7754C,400D027B
BEF40000,419A2222,00000000,3BC75D14,400D027D
BEF40000,419A2222,00000000,3BC744E1,400D027F
BEF20000,419A2222,00000000,3BC72CB3,400D0264
BEF20000,419A2222,00000000,3BC7148A,400D0266
BEF20000,419A2222,00000000,3BC6FC67,400D0268
BEF60000,419A2222,00000000,3BC6E449,400D026A
BEEE0000,419A2222,00000000,3BC6CC30,400D0250
BEF00000,419A2222,00000000,3BC6B41D,400D0219
BEF20000,419A2222,00000000,3BC69C0F,400D0238
BEFA0000,419A2222,00000000,3BC68406,400D023A
BEF20000,419A2222,00000000,3BC66C02,400D023C
BEF60000,419A2222,00000000,3BC65404,400D0222
BEF40000,419A2222,00000000,3BC63C0B,400D0224
BEF00000,419A2222,00000000,3BC62417,400D01ED
BEF40000,419A2222,00000000,3BC60C28,400D020C
BEF80000,419A2222,00000000,3BC5F43F,400D01D5
BEF40000,419A2222,00000000,3BC5DC5B,400D01D7
BEF40000,419A2222,00000000,3BC5C47C,400D01F6
BEF20000,419A2222,00000000,3BC5ACA2,400D01DC
BEF60000,419A2222,00000000,3BC594CD,400D01DE
BEEE0000,419A2222,00000000,3BC57CFE,400D01E0
BEF40000,419A2222,00000000,3BC56534,400D01E2
BEF20000,419A2222,00000000,3BC54D6F,400D01C8
BEF20000,419A2222,00000000,3BC535AF,400D01CA
BEF40000,419A2222,00000000,3BC51DF4,400D01B0
BEEA0000,419A2222,00000000,3BC5063E,400D01EB
BEF00000,419A2222,00000000,3BC4EE8E,400D0226
BEF40000,419A2222,00000000,3BC4D6E3,400D0228
BEF40000,419A2222,00000000,3BC4BF3D,400D020E
BEF80000,419A2222,00000000,3BC4A79C,400D0210
BEF40000,419A2222,00000000,3BC49000,400D01F6
BEF20000,419A2222,00000000,3BC47869,400D024D
BEF40000,419A2222,00000000,3BC460D7,400D024F
BEF20000,419A2222,00000000,3BC4494A,400D0235
BEF20000,419A2222,00000000,3BC431C3,400D0237
BEF40000,419A2222,00000000,3BC41A41,400D0200
BEF40000,419A2222,00000000,3BC402C4,400D0202
BEF40000,419A2222,00000000,3BC3EB4C,400D0204
BEF40000,419A2222,00000000,3BC3D3D9,400D01EA
BEF20000,419D5555,00000000,3BC3BC6B,400D01EC
BEF20000,419A2222,00000000,3BC3A502,400D01EE
BEF20000,419C4444,00000000,3BC38D9E,400D01D4
BEF00000,419A2222,00000000,3BC3763F,400D01F2
BEF20000,419A2222,00000000,3BC35EE5,400D01D8
