Acceleration,Temperature,Speed,Voltage,Current
BEF40000,419A2222,00000000,00000000,4006A240
BEF40000,419A2222,00000000,00000000,4006BF04
BEF60000,419A2222,00000000,00000000,4006DAAA
BEF40000,419A2222,40AE9937,00000000,4006FA06
BEF20000,419A2222,40A1C0AF,00000000,40071389
BEF20000,419A2222,409B3A04,00000000,400730B5
BEF60000,419A2222,408DBF15,00000000,400743CB
BEF80000,419D5555,40890EBF,00000000,40075F13
BEFA0000,419D5555,40AE08CC,00000000,4007750B
BEFA0000,419D5555,40F9F280,00000000,40078A42
BEF40000,419A2222,4128D9FE,00000000,40079EC1
BEF00000,419D5555,4125BBF9,00000000,4007B292
BEEC0000,41C5DDDD,411EE3C9,00000000,4007F2B9
BEF40000,41F00000,41174D67,00000000,40082CEC
BEF60000,41FAAAAB,410FA2E9,00000000,40086169
BEF80000,41FEEEF0,41085D17,00000000,40089C34
BEF00000,41DDDDDD,41021AFC,00000000,4008C5CA
BEF60000,41D91111,40EBBA22,00000000,4008F1FC
BEF40000,41CE6667,40E0E67E,00000000,40092C05
BEF20000,41CB3333,40D62B66,00000000,4009558A
BEF20000,41C6EEEF,40CA7EB0,00000000,400988F2
BEF80000,41C22223,40BF017C,00000000,4009BAF7
BEF60000,41C22223,40B33F28,00000000,4009E475
BEF00000,41BF7778,40A74744,00000000,4009F06B
BEF40000,41BB3333,40A106FE,00000000,4009FF8C
BEF40000,41BB3333,40942E3A,3F28EA65,400A421C
BEF40000,41B80000,408D8F66,3FF288B2,400A7561
BEF20000,41B80000,4086FF20,408149D2,400BE90B
BEF80000,41B80000,40718A7D,40EF93C0,400D4D75
BEF80000,41B80000,4062CB55,41482130,400DE0ED
BEF40000,41B80000,40533ADE,4199196C,400E2CF5
BEEC0000,41B55555,40438326,41D73E49,400E7A9F
BEFE0000,41B33333,40344BF4,4207710A,400E508F
BEF40000,41B33333,40344BF4,421EBA43,400E6033
BEF20000,41B08888,4023B821,422F74BD,400EDF53
BEF20000,41B08888,4011AD03,423C5C1B,400F4BB7
BEF40000,41B08888,4011AD03,424405A4,400FB93C
BEEA0000,41B08888,3FFD0788,4249B4A6,40101E2A
BEFC0000,41B08888,401CCEEA,424DC3A4,4010EB28
BEF80000,41B08888,4081F2CE,42504606,40119F0E
BEF60000,41B08888,408A4A08,42533344,40126D4C
BEE00000,41B08888,40A57ACC,42554FFF,40137943
BF080000,41ADDDDD,40B1C48D,4256BED7,401455BB
BF060000,41ADDDDD,40BF5856,425803D3,40156024
BEF20000,41AF7778,40CA1D6E,425881A7,401698F5
BF020000,41ADDDDD,40ECC364,425908F8,40184288
BEF00000,41AF7778,41026BA1,4259DDDC,4019A368
BEEC0000,41A91111,4112C474,4259F6F1,401C01A4
BEF40000,41AD5555,411AC7D3,425B0D9D,401C7AC7
BF0B0000,41A91111,412CA3CE,425BD9BA,401D7A1F
BEE00000,41A91111,413696AE,425C7384,401DA214
BECE0000,41A91111,41454D7E,425BC269,402222E8
BF070000,41A66667,4150C617,425C629A,40243153
BF0C0000,41A66667,415F8025,425D31B5,402A0EDA
BF040000,41A66667,416345D2,425D0533,402C7F14
BEEA0000,41A66667,41692D09,425DFD00,402E54E4
BEAA0000,41A66667,41682BBD,425DD23E,40347DF8
BEE00000,41A66667,4162515B,425DD249,40343663
BEF40000,41A66667,415851E0,425DF2A4,4034063C
BEF60000,41A66667,414FF7BC,425E5310,40336B15
BEE80000,41A66667,4146C241,425E50EB,4032CBB3
BEF40000,41A66667,413DA923,425E7182,403213AA
BEF20000,41A44444,4134255C,425EB49D,4031809A
BEF00000,41A44444,412D31EA,425EB6EB,4030B0B0
BEF80000,41A44444,4125BBF9,425C1F7C,402FC536
BEF60000,41A44444,411C9491,4256456B,402F0282
BEF60000,41AE6667,411534EE,424A540F,402E284A
BEF20000,41C55555,4110053A,42375000,402D8A09
BEF40000,41B80000,41085D17,421DD1CC,402CC060
BEEE0000,41B33333,4100DC42,4200AA89,402BFAF8
BEF20000,41B33333,40F7A61F,41C8ECEA,402B39BB
BEF40000,41B33333,40E7ABEB,4199B698,402A6D18
BEF60000,41B33333,40DCC0AB,416C62B2,4029B406
BEF40000,41B08888,40D1FEA4,4139E8E0,4028F735
BEEE0000,41ABBBBC,40C6648C,41166DB4,4028421F
BEF40000,41AF7778,40BB06CA,40FA2687,40278D0A
BEF20000,41AF7778,40AEE1C7,40D5ABFC,4026E343
BEF80000,41AF7778,40A89658,40BAD6FF,40263D14
BEF00000,41AF7778,409C2061,40A67C6B,402592F2
BEF20000,41AF7778,4095D44E,4096C291,4024EC55
